"_id","survey1Total","survey2Total","survey3Total","probabilities","choices","results","finalGold","__v"
"65dc843d8e7b1ee36c9b45d0",7,7,66,"[0.5,0.75,0.25]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1]",128,0
"65dc843d8e7b1ee36c9b45d2",7,7,66,"[0.5,0.75,0.25]","[2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2]","[1,1,1,-1,1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,-1,1]",128,0
"65dc86148e7b1ee36c9b45d4",4,9,78,"[0.5,0.25,0.75]","[1,2,2,1,2,3,1,2,3,2,1,3,3,1,1,2,3,3,3,3,1,1,3,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,1,3,3]","[1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1]",122,0
"65dc86148e7b1ee36c9b45d6",4,9,78,"[0.5,0.25,0.75]","[1,2,2,1,2,3,1,2,3,2,1,3,3,1,1,2,3,3,3,3,1,1,3,3,3,3,3,3,3,3,2,2,3,1,3,3,3,3,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,3,3,2,3,3,1,3,3]","[1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1]",122,0
"65dc88168e7b1ee36c9b45d8",4,6,36,"[0.75,0.25,0.5]","[1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]","[1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1]",126,0
"65dc88168e7b1ee36c9b45da",4,6,36,"[0.75,0.25,0.5]","[1,2,3,1,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3]","[1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,-1]",126,0
"65dc8adb8e7b1ee36c9b45dc",21,21,143,"[0.75,0.5,0.25]","[2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,2,1,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,1,1,3,1,2,2,2,2,2,2,1,1,3,1,1,1,1,3,1,3,1]","[-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1]",122,0
"65dc8adb8e7b1ee36c9b45de",21,21,143,"[0.75,0.5,0.25]","[2,1,1,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,3,1,1,1,1,2,1,1,3,1,1,2,1,1,3,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,1,1,3,1,2,2,2,2,2,2,1,1,3,1,1,1,1,3,1,3,1]","[-1,1,1,1,1,-1,1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,1,1,-1,-1,1]",122,0
"65dc8d838e7b1ee36c9b45e0",5,6,32,"[0.5,0.75,0.25]","[2,1,2,2,3,2,2,2,3,2,2,2,2,1,1,3,2,2,2,2,2,2,1,3,3,2,2,2,3,1,2,2,1,1,2,3,2,1,1,3,2,2,2,1,3,1,2,2,3,2,1,2,2,1,3,2,2,2,1,2,3,2,2,2,1,1,3,2,2,2,2,2,1,2,1,2,1,3,1,1]","[1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1]",120,0
"65dc8d838e7b1ee36c9b45e2",5,6,32,"[0.5,0.75,0.25]","[2,1,2,2,3,2,2,2,3,2,2,2,2,1,1,3,2,2,2,2,2,2,1,3,3,2,2,2,3,1,2,2,1,1,2,3,2,1,1,3,2,2,2,1,3,1,2,2,3,2,1,2,2,1,3,2,2,2,1,2,3,2,2,2,1,1,3,2,2,2,2,2,1,2,1,2,1,3,1,1]","[1,-1,1,1,-1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,1,-1]",120,0
